fetched from: https://autoconfig.thunderbird.net/v1.1/, enriched, updated at: 2024-05-08
domain;smtp_host:smtp_port,smtp_host:smtp_port,smtp_host:smtp_port;smtp_login_template
elvisfan.com;smtp.mail.com:465;%EMAILADDRESS%
elinstallatoer.dk;mail.telenor.dk:587;%EMAILADDRESS%
dublin.com;smtp.mail.com:465;%EMAILADDRESS%
fald.dk;mail.telenor.dk:587;%EMAILADDRESS%
embarqmail.com;smtp.centurylink.net:587;%EMAILADDRESS%
elvis.dk;mail.telenor.dk:587;%EMAILADDRESS%
fedt.dk;mail.telenor.dk:587;%EMAILADDRESS%
email.dk;mail.telenor.dk:587;%EMAILADDRESS%
fastwebnet.it;smtp.fastwebnet.it:587;%EMAILADDRESS%
ewe.net;smtp.ewe.net:587,smtps-1.ewe.net:587;%EMAILADDRESS%
ewetel.de;smtp.ewe.net:587,smtps-1.ewe.net:587;%EMAILADDRESS%
flamenco.plala.or.jp;flamenco.mail.plala.or.jp:587;%EMAILLOCALPART%
ff.iij4u.or.jp;mbox.iij4u.or.jp:587;%EMAILLOCALPART%.%EMAILDOMAIN%
englandmail.com;smtp.mail.com:465;%EMAILADDRESS%
fan.com;smtp.mail.com:465;%EMAILADDRESS%
europemail.com;smtp.mail.com:465;%EMAILADDRESS%
europe.com;smtp.mail.com:465;%EMAILADDRESS%
email.it;smtp.email.it:587,ir-spamexp2.email.it:587;%EMAILADDRESS%
execs.com;smtp.mail.com:465;%EMAILADDRESS%
flash.net;outbound.att.net:465;%EMAILADDRESS%
fantasy.plala.or.jp;fantasy.mail.plala.or.jp:587;%EMAILLOCALPART%
florida.usa.com;smtp.mail.com:465;%EMAILADDRESS%
feelings.com;smtp.mail.com:465;%EMAILADDRESS%
foni.net;smtp.versatel.de:25,maildo.versatel.de:465;%EMAILADDRESS%
fuga.plala.or.jp;fuga.mail.plala.or.jp:587;%EMAILLOCALPART%
forening.dk;mail.telenor.dk:587;%EMAILADDRESS%
free.fr;smtp.free.fr:25,mrelay4-2.free.fr:465,dreyer.hd.free.fr:587,yaka.hd.free.fr:587,erwann.hd.free.fr:587,smtp7-g19.free.fr:587;%EMAILLOCALPART%
footballer.com;smtp.mail.com:465;%EMAILADDRESS%
feminin.dk;mail.telenor.dk:587;%EMAILADDRESS%
fireman.net;smtp.mail.com:465;%EMAILADDRESS%
gadefejer.dk;mail.telenor.dk:587;%EMAILADDRESS%
film.dk;mail.telenor.dk:587;%EMAILADDRESS%
financier.com;smtp.mail.com:465;%EMAILADDRESS%
gardener.com;smtp.mail.com:465;%EMAILADDRESS%
e23.jp;mbox.iijmio-mail.jp:587;%EMAILLOCALPART%.%EMAILDOMAIN%
geologist.com;smtp.mail.com:465;%EMAILADDRESS%
gmail.com;smtp.gmail.com:465,smtp-relay.gmail.com:465;%EMAILADDRESS%
gigapec.it;smtps.pec.aruba.it:465,safety21.pec.aruba.it:465;%EMAILADDRESS%
garnet.broba.cc;mail.broba.cc:587;%EMAILADDRESS%
gigahost.dk;smtp.gigahost.dk:587;%EMAILADDRESS%
gmx.at;mail.gmx.net:465;%EMAILADDRESS%
fmail.plala.or.jp;fmail.mail.plala.or.jp:587;%EMAILLOCALPART%
gelsennet.de;smtp.versatel.de:25,maildo.versatel.de:465;%EMAILADDRESS%
